id,cuenta,monto,fecha,empresa
1,9441203174,7370.08,2023-05-27,EKWDGSLSDJDE Inc
2,9736586888,7732.97,2023-04-11,OUYDDC Inc
3,3137440676,2185.5,2023-05-15,PDTYVI Inc
4,9010072630,5499.78,2023-06-07,YICQUDINWNHHON Inc
5,7481943312,5706.44,2024-02-07,IPQHZSERHZTOD Inc
6,6355042381,4665.95,2023-04-06,DBGMIDD Inc
7,4111316457,7719.99,2024-02-02,NNZEDYSJJNKVDO Inc
8,4200544939,3968.44,2023-07-03,QZEXD Inc
9,5670778676,3810.09,2023-12-25,VHUVHPXNASCHGFN Inc
10,3696761810,1422.68,2023-05-05,EZIDJXXSAPR Inc
11,9576976009,9172.25,2023-12-01,XDCFANUX Inc
12,4571572951,136.66,2023-04-22,FFVXANYVLWG Inc
13,3543982820,3609.97,2023-09-30,QDQVMU Inc
14,6005597502,7631.26,2023-05-02,EGYJFX Inc
15,8842992188,3002.59,2023-10-27,JJCJRMBNIY Inc
16,7021739701,2347.92,2024-01-29,IAUQVN Inc
17,3368281347,9159.59,2024-04-01,LNQWITUZV Inc
18,7193546948,5224.45,2023-05-22,ANDBBOBODDX Inc
19,7627487961,1739.13,2023-08-15,PBPLETED Inc
20,1568742370,866.93,2023-10-10,ZACQZKBCNUDW Inc
21,6742600459,1134.11,2024-02-12,VYKZCIJ Inc
22,2771493747,937.38,2024-01-06,MHJAJDIFJD Inc
23,1049970669,7804.3,2024-01-17,RSRVWSZL Inc
24,0119208695,5026.24,2023-05-21,ZLOIUVY Inc
25,0433830253,1714.08,2024-02-03,AOYRQKLQY Inc
26,2217047828,7186.11,2023-09-28,PZMEDGLHH Inc
27,3587524728,4846.53,2023-05-12,HJWVUB Inc
28,9750374727,5823.76,2023-09-21,JFKZSWRPDDDMVP Inc
29,4962033727,6750.25,2024-02-12,KREDZUY Inc
30,1588408433,557.88,2023-08-10,MLKWXPBXYUU Inc
31,4431677232,4715.31,2023-05-30,DSRVOBNHRXHYFZG Inc
32,0373093425,190.7,2023-08-23,MRVSHVLZR Inc
33,6137681775,1244.06,2023-07-07,YZVXQZFZZSX Inc
34,3155280926,2604.14,2024-03-17,TQRNCJWDA Inc
35,1906901887,1660.71,2023-06-25,YYFTRKBQON Inc
36,2293267836,8199.47,2023-09-11,JZNAKQJT Inc
37,0235941932,4108.62,2023-11-30,WHFAKMVM Inc
38,3920428163,4610.21,2023-12-05,YSDGPSXOQQ Inc
39,4827458565,4504.98,2023-06-14,RPZBNCHTQUZL Inc
40,2156427594,6944.37,2023-05-28,CTSDHYC Inc
41,7136629070,3867.96,2023-09-15,KEYHCBEYWMLAYCL Inc
42,0571748850,2296.33,2023-09-11,GKYLOJK Inc
43,1698053253,2378.8,2023-05-20,RVWTHFEDPVYCAJ Inc
44,0719436075,4975.94,2024-01-11,XBTLY Inc
45,7907605937,6645.26,2023-12-28,JBXNCESERQHBVWO Inc
46,4402040992,3748.35,2023-11-10,PZXEQGKEYH Inc
47,4115558867,5921.09,2023-10-31,NIFSNKHUKQ Inc
48,6891156984,5046.4,2023-05-31,JEZHEJSZ Inc
49,4779642139,6179.06,2024-02-23,QDLSM Inc
50,0239262389,4025.02,2024-02-13,KOCJWA Inc
51,9808944703,5966.49,2024-03-16,DOSYFJVY Inc
52,3768401117,6974.42,2023-12-31,YSZJGVZ Inc
53,0107514118,6476.57,2024-02-21,KAGTXUVSCYH Inc
54,9705244812,8096.45,2024-01-21,THNHLSEBXTD Inc
55,1308476336,2869.62,2023-09-08,FQCDVFTFIN Inc
56,9482841998,2196.82,2023-04-28,WOEYH Inc
57,2058207141,4834.78,2023-09-03,HJHFSBJ Inc
58,8752068936,1491.41,2023-04-13,ALWJLAELFFQZJK Inc
59,0262201895,1550.4,2023-07-15,AEZDQED Inc
60,8024122337,293.5,2023-09-04,FBBFDNXEBELGB Inc
61,0572985409,5173.01,2023-05-17,EBSWSPYLQYOW Inc
62,7004073582,6825.64,2023-08-28,RJLXPA Inc
63,8241582967,6754.08,2024-04-01,LGUVMMCQFCD Inc
64,7716199770,1814.93,2023-09-20,EYBVG Inc
65,8312697382,8999.62,2023-11-18,VQWUJTMWBHT Inc
66,0624548825,6786.13,2023-10-25,GFZQHQXVK Inc
67,8921544157,2285.18,2023-12-28,ZOGAL Inc
68,9170989317,5040.78,2023-09-27,AVWWOTBXJQAA Inc
69,6349021809,6100.93,2023-09-03,HTJMEO Inc
70,7472160474,321.12,2023-12-06,WSIDRVKQO Inc
71,5582256729,7733.69,2023-10-04,ZXNWXLRHCZY Inc
72,1521550780,3014.69,2023-10-18,PRKSLBWMNFZ Inc
73,2171908799,7020.39,2023-10-21,QCCMTOLCMNE Inc
74,7361395195,919.75,2023-06-02,HIMDIQKYHAXLCN Inc
75,6612743034,8223.83,2023-06-28,ZEWBSZ Inc
76,0104827019,754.23,2023-06-07,KDQSQW Inc
77,4683118577,1280.3,2024-01-20,IJXRSSFS Inc
78,4850841482,9566.36,2024-02-16,BUJTCNRUQMXF Inc
79,3838658140,4979.44,2023-06-24,DTZDSTDOCEZ Inc
80,4149146092,154.35,2024-02-08,ZAFJRRPWVZVZANX Inc
81,8512069370,5144.06,2023-11-07,KSHWCXKPLPAZA Inc
82,8230849348,6976.73,2023-07-05,DAFSBVMTCL Inc
83,4891809722,7723.42,2024-03-25,SHOXLKOIHGTSM Inc
84,4629376937,4541.52,2024-02-25,LBXMAHTCSEQTM Inc
85,3206802222,981.71,2023-11-15,AJHKJNH Inc
86,2888451374,2768.74,2023-08-08,LDBEVYTKDAYY Inc
